Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
49	13.0	7.6011696	25.0	4.0	14.0	0.0	14.0	14.0	80.0	80.0	39200	12.720355	0.17028107	13.493632	12.26094	12.720493	0.1662152	13.387206	12.321209	7.804308	2.3160653	15.227691	-2.7791243	-12.843522	0.1142482	3482.4348051548004
50	12.0	12.719189	36.0	0.0	4.0	0.0	4.0	4.0	80.0	80.0	40000	13.067914	0.16779394	13.772767	12.648273	13.06801	0.16164738	13.659357	12.679015	7.707575	2.298203	15.04792	-2.299133	-13.174121	0.11636483	3553.023864507675
51	0.11111111	0.31426966	1.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	40800	13.108562	0.15285371	13.637937	12.703125	13.108687	0.149466	13.592293	12.812417	7.41505	2.2458918	14.892363	-3.8711863	-13.121878	0.10920678	3623.116269350052
52	1.8888888	0.993808	4.0	1.0	0.0	0.0	0.0	0.0	80.0	80.0	41600	13.151823	0.16028388	13.735004	12.76414	13.151836	0.15811454	13.701374	12.845877	7.1230702	2.1950538	14.242819	-2.7833416	-13.2136965	0.10641133	3693.1761045455933
53	4.2222223	2.6988795	9.0	0.0	1.0	0.0	1.0	1.0	80.0	80.0	42400	13.326067	0.18025355	14.0138855	12.908719	13.325976	0.17892636	13.988018	12.97056	7.3482585	2.2887523	15.082819	-3.2942781	-13.429639	0.10640331	3763.1311995983124
54	14.777778	13.306454	34.0	1.0	2.0	0.0	2.0	2.0	80.0	80.0	43200	13.629396	0.1920209	14.331189	13.15756	13.629569	0.19142514	14.293507	13.194429	7.790921	2.4205136	15.831006	-5.125971	-13.759414	0.10529742	3833.1188938617706
55	16.333334	2.7487369	21.0	11.0	15.0	0.0	15.0	15.0	80.0	80.0	44000	13.975317	0.18383919	14.625834	13.513664	13.97526	0.18286295	14.591731	13.526151	7.972839	2.4724855	16.158842	-4.168435	-14.106005	0.10452487	3903.2459399700165
56	18.444445	4.669311	27.0	12.0	16.0	0.0	16.0	16.0	80.0	80.0	44800	14.262805	0.17594092	14.897988	13.836912	14.262909	0.17489482	14.847681	13.848532	8.100409	2.5121524	16.61239	-3.2629993	-14.37938	0.108519286	3973.09974861145
57	16.0	3.7712362	21.0	8.0	20.0	0.0	20.0	20.0	80.0	80.0	45600	14.5359125	0.17275351	15.1083975	14.105053	14.535945	0.17219198	15.078892	14.1016035	8.258213	2.5728943	16.81531	-2.0013793	-14.647661	0.110804215	4043.0984728336334
58	18.222221	3.359159	24.0	14.0	9.0	0.0	9.0	9.0	80.0	80.0	46400	14.770625	0.1746821	15.391947	14.36294	14.770625	0.17361407	15.363488	14.354255	8.241151	2.5785635	16.900335	-1.8430319	-14.87949	0.11251272	4113.109481811523
59	18.222221	5.3702426	28.0	10.0	20.0	0.0	20.0	20.0	80.0	80.0	47200	15.032361	0.1811177	15.723673	14.596595	15.032444	0.17949799	15.681817	14.583313	8.342278	2.6183708	17.14023	-2.5865364	-15.15124	0.11482679	4183.173587799072
60	19.0	4.189935	28.0	13.0	16.0	0.0	16.0	16.0	80.0	80.0	48000	15.338223	0.18653685	16.095606	14.888784	15.338267	0.18497895	16.029648	14.897364	8.222766	2.586306	16.994835	-4.224414	-15.462571	0.11780878	4254.188541650772
61	19.88889	4.0399246	25.0	14.0	21.0	0.0	21.0	21.0	80.0	80.0	48800	15.618319	0.1794037	16.312305	15.128217	15.618411	0.17698868	16.264057	15.144054	8.163014	2.5862284	16.895664	-4.0158596	-15.736697	0.11681373	4324.259527921677
62	18.444445	4.32335	24.0	10.0	23.0	0.0	23.0	23.0	80.0	80.0	49600	15.882603	0.18103726	16.622196	15.4088335	15.8827095	0.17826492	16.560438	15.457167	8.166376	2.590566	16.992294	-2.5367076	-15.998196	0.12085251	4395.654676437378
63	16.88889	6.0634503	24.0	5.0	24.0	0.0	24.0	24.0	80.0	80.0	50400	16.1279	0.17650075	16.794476	15.687363	16.128012	0.17236893	16.74009	15.717628	8.214161	2.6137338	17.088856	-1.2658807	-16.234724	0.12240342	4465.73494553566
64	17.333334	4.618802	23.0	8.0	12.0	0.0	12.0	12.0	80.0	80.0	51200	16.387203	0.19010854	17.15321	15.889001	16.387215	0.18608724	17.074644	15.951853	8.158304	2.5707731	17.016033	-2.5175514	-16.512272	0.1226449	4535.725539684296
65	21.444445	3.5935469	28.0	16.0	20.0	0.0	20.0	20.0	80.0	80.0	52000	16.69027	0.19595917	17.476833	16.220764	16.690338	0.19086657	17.415287	16.215532	8.145273	2.5775898	17.055265	-1.8476202	-16.823786	0.12416151	4606.300712823868
66	19.666666	6.7494855	27.0	2.0	13.0	0.0	13.0	13.0	80.0	80.0	52800	17.024496	0.19472235	17.870266	16.5135	17.024643	0.1887161	17.780073	16.54582	8.224756	2.596571	17.277813	-1.2641994	-17.157812	0.12663512	4676.773195743561
67	9.888889	11.308251	26.0	0.0	13.0	0.0	13.0	13.0	80.0	80.0	53600	17.23413	0.18138038	17.966757	16.772635	17.234291	0.17679416	17.869184	16.828268	8.251828	2.5851378	17.404217	-4.5021048	-17.275763	0.12616014	4747.314000606537
68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	54400	17.009712	0.19637275	17.657047	16.498713	17.00986	0.19471674	17.633677	16.540888	8.000877	2.4830687	17.14661	-3.4288216	-16.983788	0.11899727	4817.15297293663
69	27.777779	10.517475	39.0	10.0	5.0	0.0	5.0	5.0	80.0	80.0	55200	16.868414	0.1801098	17.535757	16.457123	16.868359	0.17731765	17.454365	16.500114	7.7034345	2.38943	16.328054	-2.5899649	-16.924383	0.12108823	4887.114446401596
70	32.0	8.259674	41.0	18.0	38.0	0.0	38.0	38.0	80.0	80.0	56000	16.959347	0.18460698	17.661755	16.483374	16.959406	0.18035856	17.564096	16.540802	7.5635595	2.3295836	15.991106	-3.2342126	-17.042822	0.123116896	4957.746005058289
71	29.666666	10.832051	40.0	10.0	38.0	0.0	38.0	38.0	80.0	80.0	56800	17.177502	0.20257644	17.968708	16.671976	17.177692	0.197953	17.923315	16.686491	7.599779	2.3181195	16.103497	-2.0664568	-17.296997	0.123306215	5028.270812988281
72	22.88889	14.394787	37.0	2.0	19.0	0.0	19.0	19.0	80.0	80.0	57600	17.51524	0.21568047	18.36322	16.946846	17.515322	0.21157216	18.298954	16.98896	7.608428	2.3305752	16.016575	-3.33113	-17.654297	0.123725325	5098.658960819244
73	28.555555	12.508762	40.0	5.0	14.0	0.0	14.0	14.0	80.0	80.0	58400	17.910093	0.22646154	18.834963	17.35892	17.9103	0.22242646	18.758333	17.40094	7.6613846	2.3109796	16.186703	-3.3671317	-18.064686	0.1245977	5169.134749889374
74	27.444445	12.446428	41.0	8.0	24.0	0.0	24.0	24.0	80.0	80.0	59200	18.355043	0.2318175	19.27815	17.774487	18.355186	0.22739583	19.222885	17.775091	7.7828827	2.3633206	16.445745	-2.737132	-18.521492	0.12313321	5240.555198669434
75	23.777779	9.052658	38.0	4.0	40.0	0.0	40.0	40.0	80.0	80.0	60000	18.797121	0.23084004	19.679932	18.239826	18.797304	0.22575966	19.641827	18.205526	7.766275	2.3554556	16.461082	-1.9085636	-18.959759	0.124273434	5311.164930343628
76	22.11111	13.469674	39.0	4.0	9.0	0.0	9.0	9.0	80.0	80.0	60800	19.221611	0.22971636	20.131033	18.644224	19.22175	0.22404091	20.083956	18.703428	7.8163586	2.3537745	16.60361	-1.8913136	-19.38409	0.124901116	5381.773499250412
77	25.666666	8.856887	37.0	11.0	8.0	0.0	8.0	8.0	80.0	80.0	61600	19.663393	0.23669206	20.628435	19.050652	19.663536	0.23109166	20.579145	19.102364	7.9644256	2.3945975	16.861748	-2.5002937	-19.834904	0.12699483	5452.328041791916
78	19.222221	9.306841	34.0	6.0	25.0	0.0	25.0	25.0	80.0	80.0	62400	20.106167	0.23149675	21.06673	19.510311	20.106308	0.22592361	20.994804	19.539736	8.071449	2.4127119	16.943491	-2.1128838	-20.275776	0.12610197	5522.830466747284
79	17.666666	6.879923	28.0	6.0	12.0	0.0	12.0	12.0	80.0	80.0	63200	20.52318	0.23215607	21.450706	19.898182	20.523209	0.22601095	21.46086	19.942465	8.135254	2.4219415	17.237911	-2.822882	-20.690397	0.12845272	5593.1667304039
80	16.666666	6.073622	29.0	8.0	28.0	0.0	28.0	28.0	80.0	80.0	64000	20.92983	0.2353216	21.954065	20.322159	20.930042	0.22909084	21.884224	20.37663	8.224525	2.4520006	17.54192	-4.2407417	-21.098854	0.12980258	5663.157831430435
81	26.88889	3.7548323	33.0	21.0	24.0	0.0	24.0	24.0	80.0	80.0	64800	21.315495	0.23019004	22.266483	20.676144	21.31563	0.22406785	22.20884	20.753828	8.349606	2.4794962	17.84361	-3.426495	-21.480965	0.13243298	5733.812076091766
82	23.88889	3.1426969	29.0	19.0	13.0	0.0	13.0	13.0	80.0	80.0	65600	21.670557	0.23687983	22.68206	21.061735	21.670744	0.2299871	22.594448	21.115246	8.407826	2.4953942	17.84321	-6.2810545	-21.830826	0.13462739	5804.227916002274
83	24.88889	3.4462361	33.0	19.0	23.0	0.0	23.0	23.0	80.0	80.0	66400	22.036615	0.2523839	23.089235	21.397448	22.036741	0.24667092	22.990772	21.397198	8.309281	2.4154532	17.620033	-2.904414	-22.204659	0.1366648	5874.743531703949
84	25.0	2.9059327	31.0	21.0	24.0	0.0	24.0	24.0	80.0	80.0	67200	22.414177	0.26152444	23.563036	21.730003	22.414352	0.2553614	23.465206	21.741116	8.283908	2.3909307	17.548637	-2.745049	-22.582647	0.13802433	5944.241882562637
85	24.555555	2.6293688	29.0	20.0	23.0	0.0	23.0	23.0	80.0	80.0	68000	22.750608	0.277845	23.927568	22.073555	22.750765	0.2707156	23.8661	22.058567	8.307451	2.3555074	17.644743	-2.8375993	-22.916998	0.14071108	6010.553216934204
86	24.333334	7.133645	31.0	7.0	27.0	0.0	27.0	27.0	80.0	80.0	68800	23.121761	0.31904012	24.421036	22.339611	23.121943	0.31168178	24.373098	22.322367	8.862034	2.760103	21.91734	-5.367997	-23.302544	0.1451409	6077.020662069321
87	11.888889	11.11	32.0	3.0	6.0	0.0	6.0	6.0	80.0	80.0	69600	23.760138	0.28512415	24.798807	22.885103	23.760096	0.27676222	24.818432	22.89295	10.592753	3.7523055	24.69553	-2.5427349	-23.97936	0.14704153	6145.976021766663
88	24.88889	6.573422	34.0	13.0	27.0	0.0	27.0	27.0	80.0	80.0	70400	24.129374	0.24334256	24.901464	23.572557	24.129519	0.22516046	24.95893	23.60803	10.297041	3.3673751	23.946024	-0.82130814	-24.274742	0.14467666	6213.917986154556
89	24.222221	6.032832	34.0	14.0	20.0	0.0	20.0	20.0	80.0	80.0	71200	24.306114	0.24200098	25.187954	23.78019	24.306393	0.23233053	25.224277	23.759102	10.305164	3.4368365	22.918106	-2.9973235	-24.44207	0.14050847	6280.953449010849
90	28.444445	3.9752321	36.0	24.0	22.0	0.0	22.0	22.0	80.0	80.0	72000	24.479212	0.2436996	25.393715	23.958147	24.479332	0.23695026	25.394287	23.86063	10.422318	3.5586743	22.95278	-0.7122202	-24.616333	0.13903911	6347.629217147827
91	33.333332	6.6332498	42.0	18.0	38.0	0.0	38.0	38.0	80.0	80.0	72800	24.682089	0.25194344	25.853771	24.101797	24.682213	0.24665835	25.77687	24.014715	10.391121	3.574486	23.864267	-6.545825	-24.842457	0.13851258	6414.0272789001465
92	32.444443	6.3440456	46.0	22.0	30.0	0.0	30.0	30.0	80.0	80.0	73600	25.111904	0.31120872	26.547794	24.388664	25.112076	0.307841	26.567917	24.329098	10.336853	3.4829867	25.17505	-1.9101248	-25.360386	0.13930859	6481.4948835372925
93	32.555557	5.5198855	42.0	21.0	28.0	0.0	28.0	28.0	80.0	80.0	74400	25.785557	0.32044014	27.239286	25.025766	25.785723	0.316991	27.253777	24.957262	10.767817	3.7899847	32.02259	-4.215349	-26.062231	0.13927335	6552.342369556427
94	31.88889	4.433319	41.0	24.0	39.0	0.0	39.0	39.0	80.0	80.0	75200	26.479055	0.3208034	27.957043	25.610584	26.479284	0.317385	27.962252	25.559393	11.457604	4.2785664	40.10073	-5.4797497	-26.76104	0.14150546	6622.66846370697
95	36.333332	3.91578	43.0	30.0	38.0	0.0	38.0	38.0	80.0	80.0	76000	27.154512	0.3138902	28.718435	26.234896	27.154709	0.3108244	28.645292	26.280272	12.1386595	4.6560683	43.10392	-5.7243814	-27.429775	0.14327988	6693.29593372345
96	37.11111	3.2470307	43.0	33.0	45.0	0.0	45.0	45.0	80.0	80.0	76800	27.782475	0.31344873	29.353552	26.851728	27.782675	0.31070092	29.310776	26.836773	12.972537	5.179311	46.79106	-1.1672454	-28.05392	0.14519852	6763.687844991684
97	40.11111	3.2126293	44.0	35.0	39.0	0.0	39.0	39.0	80.0	80.0	77600	28.404448	0.3215761	30.045044	27.560455	28.404663	0.31859335	29.955772	27.426233	13.429878	5.6435785	53.066406	-4.29519	-28.680307	0.14709789	6834.28996181488
